FREQUENCY,X,Y,FID_1,Name,SampleLogi,Town,Municipali,State,Country,Lat_N,Long_W,Alt,X_1,Y_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-97.93250000000,22.60305600000,280,Desmodus rotundus,WG080429-020,,Altamarina,San Lu?s Potos?,,22.603056,-97.9325,Alt 20,-97.93250000000,22.60305600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-100.17722200000,21.93555600000,287,Desmodus rotundus,WG080429-027,,R?o Verde,San Lu?s Potos?,,21.935556,-100.177222,Alt 1220,-100.17722200000,21.93555600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-99.21944400000,22.53333300000,299,Desmodus rotundus,WG080429-039,,Nuevo Morelos,San Lu?s Potos?,,22.533333,-99.219444,Alt 280,-99.21944400000,22.53333300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-100.10500000000,21.89250000000,307,Desmodus rotundus,WG080429-047,,R?o Verde,San Lu?s Potos?,,21.8925,-100.105,Alt 1080,-100.10500000000,21.89250000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-99.87555600000,21.62416700000,338,Desmodus rotundus,WG080429-078,,San Ciro Acosta,San Lu?s Potos?,,21.624167,-99.875556,Alt 980,-99.87555600000,21.62416700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-99.92027800000,21.56361100000,342,Desmodus rotundus,WG080429-082,,San Ciro Acosta,San Lu?s Potos?,,21.563611,-99.920278,Alt 1140,-99.92027800000,21.56361100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-98.16472200000,22.99083300000,347,Desmodus rotundus,WG080429-087,,Aldama,San Lu?s Potos?,,22.990833,-98.164722,Alt 190,-98.16472200000,22.99083300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-99.91138900000,21.63194400000,350,Desmodus rotundus,WG080429-090,,San Ciro Acosta,San Lu?s Potos?,,21.631944,-99.911389,Alt 1100,-99.91138900000,21.63194400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-99.93194400000,21.80111100000,353,Desmodus rotundus,WG080429-093,,R?o Verde,San Lu?s Potos?,,21.801111,-99.931944,Alt 940,-99.93194400000,21.80111100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-100.05777800000,22.13416700000,354,Desmodus rotundus,WG080429-094,,R?o Verde,San Lu?s Potos?,,22.134167,-100.057778,Alt 1020,-100.05777800000,22.13416700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-100.26536000000,22.57766000000,355,Desmodus rotundus,WG100222-001,Guadalcazar,,San Lu?s Potos?,Mexico,22.57766,100.26536,Alt 1048,-100.26536000000,22.57766000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-100.26627000000,22.57282000000,360,Desmodus rotundus,WG100222-006,Guadalcazar,,San Lu?s Potos?,Mexico,22.57282,100.26627,Alt 1341,-100.26627000000,22.57282000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-100.37540000000,22.63420000000,361,Desmodus rotundus,WG100222-007,Guadalcazar,,San Lu?s Potos?,Mexico,22.6342,100.3754,,-100.37540000000,22.63420000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-100.31688000000,22.62170000000,366,Desmodus rotundus,WG100222-012,Guadalcazar,,San Lu?s Potos?,Mexico,22.6217,100.31688,Alt 1474,-100.31688000000,22.62170000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-98.96666700000,21.69638900000,381,Desmodus rotundus,WG100222-027,Tancanhuitz,,San Lu?s Potos?,Mexico,21.696389,-98.966667,,-98.96666700000,21.69638900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-98.96805600000,21.61083300000,383,Desmodus rotundus,WG100222-029,Tancanhuitz,,San Lu?s Potos?,Mexico,21.610833,-98.968056,,-98.96805600000,21.61083300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-99.03888900000,21.65055600000,386,Desmodus rotundus,WG100222-032,Aquismon,,San Lu?s Potos?,Mexico,21.650556,-99.038889,,-99.03888900000,21.65055600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-99.10972200000,21.74055600000,390,Desmodus rotundus,WG100222-036,Aquismon,,San Lu?s Potos?,Mexico,21.740556,-99.109722,,-99.10972200000,21.74055600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-99.96805600000,21.48333300000,394,Desmodus rotundus,WG100222-040,Huehuetlan,,San Lu?s Potos?,Mexico,21.483333,-99.968056,,-99.96805600000,21.48333300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-99.93916700000,21.98638900000,395,Desmodus rotundus,WG100222-041,Cd. Valles,,San Lu?s Potos?,Mexico,21.986389,-99.939167,,-99.93916700000,21.98638900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-98.95500000000,21.75138900000,396,Desmodus rotundus,WG100222-042,Tanlajas,,San Lu?s Potos?,Mexico,21.751389,-98.955,,-98.95500000000,21.75138900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-100.21027800000,21.94750000000,397,Desmodus rotundus,WG100222-043,Rio Verde,,San Lu?s Potos?,Mexico,21.9475,-100.210278,,-100.21027800000,21.94750000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-99.14888900000,21.84361100000,417,Desmodus rotundus,WG100604-001,La Ceiba,Aquismon,San Lu?s Potos?,MX,21.843611,-99.148889,,-99.14888900000,21.84361100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-99.15194400000,21.87000000000,423,Desmodus rotundus,WG100604-007,La Canada,Aquismon,San Lu?s Potos?,MX,21.87,-99.151944,,-99.15194400000,21.87000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-98.95250000000,21.81500000000,426,Desmodus rotundus,WG100604-010,Ejido Santiaguillo,Ciudad Valles,San Lu?s Potos?,MX,21.815,-98.9525,,-98.95250000000,21.81500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-98.52722000000,21.78888900000,436,Desmodus rotundus,WG100604-020,Santos de angel,San Vicente,San Lu?s Potos?,MX,21.788889,-98.52722,,-98.52722000000,21.78888900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-98.46861100000,21.78611100000,441,Desmodus rotundus,WG100604-025,Rancho Buenos Aires,San Vicente,San Lu?s Potos?,MX,21.786111,-98.468611,,-98.46861100000,21.78611100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-98.89833300000,21.58000000000,448,Desmodus rotundus,WG100604-033,Rancho La Cruz,Tacanhuitz,San Lu?s Potos?,MX,21.58,-98.898333,,-98.89833300000,21.58000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-98.56435000000,21.07080000000,458,Desmodus rotundus,WG100604-043,Ejido Los Sabinos,Ciudad Valles,San Lu?s Potos?,MX,21.0708,98.56435,,-98.56435000000,21.07080000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-99.19002000000,22.22330000000,460,Desmodus rotundus,WG100604-045,Ejido Minas Viejas,El Naranjo,San Lu?s Potos?,MX,22.2233,99.19002,,-99.19002000000,22.22330000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-99.16503000000,21.55457000000,464,Desmodus rotundus,WG100604-049,Ejido Abras del Corozo,El Naranjo,San Lu?s Potos?,MX,21.55457,99.16503,,-99.16503000000,21.55457000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-99.11215000000,21.47047000000,466,Desmodus rotundus,WG100604-051,Primera ampliacion del saucillo,Tamasopo,San Lu?s Potos?,MX,21.47047,99.11215,Altitude: 278 m,-99.11215000000,21.47047000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-98.58354000000,21.11100900000,476,Desmodus rotundus,WG100604-061,Delegacion el pujal,Ciudad Valles,San Lu?s Potos?,MX,21.111009,98.58354,Altitude: 314 m,-98.58354000000,21.11100900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-99.15289000000,21.55482000000,477,Desmodus rotundus,WG100604-062,Ejido abras del crozo-Abras2,Tamasopo,San Lu?s Potos?,MX,21.55482,99.15289,Altitude: 287 m,-99.15289000000,21.55482000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-99.08548000000,22.18078000000,480,Desmodus rotundus,WG100604-065,Ejido Zaragoza,Ciudad Valles,San Lu?s Potos?,MX,22.18078,99.08548,Altitude: 181 m,-99.08548000000,22.18078000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-99.35111100000,21.86861100000,483,Desmodus rotundus,WG060216-001,,El Varal,Tamasopo,San Lu?s Potos?,21.868611,-99.351111,880,-99.35111100000,21.86861100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-99.35611100000,21.82166700000,484,Desmodus rotundus,WG060216-002,,Santa Maria Tampalatin,Tamasopo,San Lu?s Potos?,21.821667,-99.356111,660,-99.35611100000,21.82166700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-95.36200000000,17.33933333330,491,Desmodus rotundus,WG070201-001,Mixtequita,San Juan Mazatlan,Oaxaca,,17 20.36',95 21.72',Altitude 100M,-95.36200000000,17.33933333330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,-99.20835000000,23.77708333330,509,Desmodus rotundus,WG100303-001,,,Tamaulipas,Mexico,23 46.625',99 12.501',,-99.20835000000,23.77708333330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-99.36591666670,23.96591666670,516,Desmodus rotundus,WG100303-008,,,Tamaulipas,,23 57.955',99 21.955',,-99.36591666670,23.96591666670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,-99.58935000000,23.30421666670,522,Desmodus rotundus,WG100303-014,,,Tamaulipas,,23 18.253',99 35.361',,-99.58935000000,23.30421666670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-99.12686666670,23.03718333330,541,Desmodus rotundus,WG100303-033,,,Tamaulipas,,23 02.231',99 07.612',,-99.12686666670,23.03718333330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-99.20583333330,23.69648333330,548,Desmodus rotundus,WG100303-056,,,Tamaulipas,,23 41.789',99 12.350',,-99.20583333330,23.69648333330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-100.15875000000,25.32615000000,551,Desmodus rotundus,WG100303-081,,,Nuevo Leon,,25 19.569',100 09.525',,-100.15875000000,25.32615000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-99.29136666670,23.60915000000,592,Desmodus rotundus,WG100303-145,,,Tamaulipas,,23  36.549',99  17.482',,-99.29136666670,23.60915000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-99.26676666670,23.77131666670,606,Desmodus rotundus,WG100303-174,,,Nuevo Leon,,23  46.279',99  16.006',,-99.26676666670,23.77131666670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-99.04105000000,22.64825000000,648,Desmodus rotundus,WG100303-259,,,Tamaulipas,,22  38.895',99  02.463',,-99.04105000000,22.64825000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
