X,Y,response,bio2,bio6,bio12,bio15,bio19
-92.30435418,15.28590998,1,132,103,2104,80,64
-92.98768755,17.51924343,1,114,166,4108,43,864
-99.10435454,23.25257706,1,131,106,831,71,64
-99.17935454,18.7692435,1,162,121,881,101,30
-104.3710215,21.02757695,1,164,87,842,114,43
-102.6710214,20.94424361,1,176,41,806,112,33
-92.95435421,15.50257666,1,142,174,2601,94,72
-92.0626875,16.71924339,1,133,108,1711,67,147
-93.65435425,16.11924336,1,130,147,1565,101,31
-103.5376881,19.35257686,1,142,124,1060,109,40
-103.5126881,19.35257686,1,142,131,1082,109,39
-104.1876881,20.53591026,1,159,75,902,104,47
-95.31268767,16.40257671,1,115,182,811,115,7
-99.90435458,22.66091037,1,149,82,560,75,41
-91.73768748,16.11091003,1,135,104,2019,67,231
-92.37102085,14.78590996,1,129,190,1582,91,47
-102.5293547,18.02757679,1,122,175,1066,110,25
-103.4210214,20.41091025,1,153,52,823,105,36
-99.45435455,22.49424369,1,138,78,1256,87,74
-93.65435425,16.15257669,1,130,144,1534,101,31
-100.6293546,17.45257676,1,124,186,1403,110,24
-92.89602088,17.11091008,1,122,101,2055,53,282
-96.94602109,17.79424345,1,140,119,732,94,38
-103.2876881,20.28591024,1,147,68,786,106,33
-88.91268734,18.19424347,1,104,169,1332,59,164
-105.1043548,21.08591029,1,129,137,1322,118,40
-93.76268759,17.08591008,1,112,160,2054,57,290
-101.8460213,18.29424347,1,145,170,712,102,43
-99.15435454,23.12757706,1,129,115,1186,80,66
-92.00435417,15.95257668,1,141,135,1038,99,33
-93.81268759,16.57757672,1,121,151,975,100,27
-103.3376881,24.33591045,1,182,36,409,103,24
-98.92935453,18.8442435,1,167,116,894,104,18
-102.7460214,20.29424358,1,152,73,838,110,35
-94.21268761,16.58591005,1,113,119,1352,89,67
-99.60435456,18.7192435,1,139,119,1159,102,36
-91.9626875,17.41924343,1,112,168,2551,52,382
-99.39602122,23.26924373,1,142,63,718,78,46
-96.30435439,15.71924334,1,137,184,802,106,10
-93.18768756,16.87757673,1,127,131,1068,89,45
-96.77102108,19.33591019,1,115,129,1117,84,74
-92.63768753,16.07757669,1,145,131,1414,95,32
-99.35435455,21.86924366,1,128,101,1149,86,76
-93.64602092,16.02757669,1,128,170,1901,100,38
-99.57935456,24.84424381,1,139,76,820,66,67
-99.72102123,24.09424378,1,152,48,672,74,53
-92.0376875,16.07757669,1,141,106,1087,87,41
-92.45435419,15.37757665,1,134,114,2230,82,80
-100.3960213,18.78591017,1,153,139,1159,110,35
-95.04602099,17.21924342,1,103,169,2670,86,225
-92.7293542,16.76091006,1,128,51,1234,79,68
-93.71268759,15.98591002,1,124,189,1629,99,30
-91.72935415,16.12757669,1,134,102,2026,66,236
-99.26268788,18.77757683,1,161,122,901,102,30
-92.69602087,15.81091001,1,142,133,2345,95,74
-93.66268758,16.08591002,1,129,156,1748,100,36
-93.12102089,16.75257673,1,136,140,938,104,18
-97.42935445,18.49424348,1,151,72,479,93,15
-92.89602088,17.15257675,1,121,100,2118,51,308
-89.45435403,20.24424357,1,135,155,1120,61,106
-98.14602115,20.26924358,1,132,76,2065,81,134
-106.3710216,24.90257715,1,134,75,1225,95,173
-97.43768778,18.49424348,1,151,72,475,93,15
-99.97935458,21.927577,1,143,90,523,78,49
-94.11268761,16.39424337,1,119,164,1874,98,48
-96.96268776,17.75257678,1,140,128,534,98,15
-102.9126881,21.89424366,1,191,47,581,104,35
-97.32102111,19.95257689,1,105,106,3283,59,387
-91.72102082,16.88591007,1,122,149,2518,65,263
-89.72102071,17.86091012,1,99,163,1249,53,157
-88.15435396,21.23591029,1,122,160,1104,63,126
-96.88768775,17.61924344,1,143,106,675,93,32
-92.0376875,16.10257669,1,140,97,1032,85,43
-105.0710215,19.52757687,1,129,161,752,109,28
-94.91268765,16.42757671,1,97,197,923,112,11
-96.82102108,19.65257688,1,95,101,1526,64,167
-93.09602089,16.71924339,1,137,137,978,105,17
-99.57935456,18.72757683,1,139,118,1147,103,36
-99.6626879,18.23591014,1,153,145,981,107,25
-97.68768779,15.96091002,1,146,184,1364,112,17
-104.7460215,21.86091033,1,136,130,1236,119,69
-103.1626881,18.7692435,1,125,125,1272,97,53
-95.04602099,16.9442434,1,105,169,1745,88,118
-99.79602124,16.8192434,1,112,211,1114,111,18
-99.18768787,23.66091042,1,137,85,644,71,56
-104.9793548,21.91091033,1,127,135,1877,131,52
-96.42102106,17.35257676,1,129,45,1554,83,132
-96.96268776,17.79424345,1,139,127,605,97,24
-99.42935455,22.11924367,1,131,94,932,87,54
-99.17935454,18.8692435,1,154,118,953,102,33
-99.17935454,23.04424372,1,129,93,1055,81,63
-89.98768739,17.93591012,1,104,164,1277,59,148
